微博id,微博发布者,微博发布者id,微博发布者性别,微博发布时间,微博发布来源,微博发布IP归属地,微博简介,认证状态,认证理由,content,like_cnt,comment_cnt,repost_cnt,fan_cnt,date,hour,date-hour
5063742607593987,照秋_反深代词神专,7521008698,m,2024-08-04 20:16:20,Unknown,广东,反深代词神专驾到，糊坛通通闪开👋,True,超话粉丝大咖（周深超话）,ql能不能把陈丽君这个偷歌的大件货给告了 #陈丽君 偷歌#,177,28,1,1.3万,2024-08-04,20,2024-08-04-20
5063746227803793,stella_天晴,7765175714,f,2024-08-04 20:30:43,Unknown,江苏,愿你拥有滚烫的爱和自己喜欢的自己。,False,,"定风波·莫听穿林打叶声
苏轼
三月七日，沙湖道中遇雨。雨具先去，同行皆狼狈，余独不觉。已而遂晴，故作此词。
莫听穿林打叶声，何妨吟啸且徐行。竹杖芒鞋轻胜马，谁怕？一蓑烟雨任平生。
料峭春风吹酒醒，微冷，山头斜照却相迎。回首向来萧瑟处，归去，也无风雨也无晴。
真喜欢这首诗可以找人谱个曲子完整唱一下。
《光亮》戏腔才三年，不是什么古典戏曲，欢迎翻唱，但不需要乱七八糟的人来硬凹传承。
#陈丽君 偷歌#",0,0,0,1.1万,2024-08-04,20,2024-08-04-20
5063757934369729,粥老师请说,7884351572,f,2024-08-04 21:17:14,HarmonyOS设备,河北,胡言乱语存放地，日常对周深发癫，小心被我创飞🚗,False,,"#陈丽君 偷歌# 周深《光亮》里的“莫听穿林打叶声，一蓑烟雨任平生。”
这几句戏腔很火，从21年一出就很热，非常惊艳大家。周深的《光亮》 在央视中秋晚会上唱过，在北京电影节上唱过，但是后半句是词作苟老师【专门为这首歌改的】，曲是钱雷老师作的。
而真正的《定风波》原文是“莫听穿林打叶声，何妨吟啸且徐行。”这首苏轼的词，是高中生必备古诗词。
所以某位小姐唱着歌名为《定风波》的歌，却缝合上了《光亮》的戏腔，这种做法很不地道。要不就是故意的，要不就是暴露了自己文化水平。一直以来都有人提醒这位小姐和她的粉丝，可是至今都非要唱《光亮》里的这两句，并且安在自己身上。
翻唱，却不标注原唱，或者偷取原词曲放到自己的歌里，都是非常没有道德的混子行为。",47,6,2,104,2024-08-04,21,2024-08-04-21
5063758172392983,怜雾_正在听反深代词,7458115630,m,2024-08-04 21:18:11,iPhone 14 Pro Max,浙江,🌫️✨|小奇观理论研究者,True,超话粉丝大咖（周深超话）,【视频可以搬运去各平台澄清，这是货真价实的《光亮》，并不是什么戏曲唱段《定风波》】 这不是《光亮》还能是什么？ #陈丽君 偷歌# 怜雾_正在听反深代词的微博视频,9250,631,1265,3.4万,2024-08-04,21,2024-08-04-21
5063760333505800,果酱叻,6619898371,f,2024-08-04 21:26:45,周深所愿皆成真,北京,如你所见，我是一只萨摩耶，是周深的狗,True,微博剪辑视频博主,#陈丽君 偷歌# 不管唱得好不好，也不影响她偷歌 不管是越剧还是京剧，也不影响她偷歌 不管当不当成传统戏剧，也不影响她偷歌 不管扯多少弘扬文化上多少价值，也不影响她偷歌 不管是不是女宝，也不影响她偷歌,64,3,20,424,2024-08-04,21,2024-08-04-21
5063768122072322,圆圆的小肥啾,7297724057,f,2024-08-04 21:57:43,小米10,广东,,False,,#陈丽君 偷歌#不是一次了，脸都不要了,10,3,1,5,2024-08-04,21,2024-08-04-21
5063768629580620,努力棠jy,6193268006,f,2024-08-04 21:59:44,HUAWEI Mate 40 Pro,北京,别忘了，你也有梦～,False,,#陈丽君 偷歌#这是在干嘛 周深的原唱不标 粉丝还在这骂周深 我们只是在陈述事实 而陈丽君粉丝直接人身攻击 路过卡 网页链接,978,118,99,287,2024-08-04,21,2024-08-04-21
5063768990813273,做只浪漫的鱼,7726348309,f,2024-08-04 22:01:10,HUAWEI P40 5G,四川,亲爱的朋友啊，我要拉着你奔跑,False,,#陈丽君 偷歌# 有的人就凭着自己糊就可以随便抄袭了吗？,52,12,3,1938,2024-08-04,22,2024-08-04-22
5063769222819652,乌鸦为什么爱听反深代词,7518860581,f,2024-08-04 22:02:06,微博视频号,山东,I've got my eye on you. I've got my mind on you.,True,娱乐博主 超话粉丝大咖（周深超话）,"#陈丽君浮生一白#
希望@陈丽君_点绛唇 和她的粉丝这次以后都能清楚，第一除了钱雷原创的《光亮》之外没有任何越剧戏曲是这样唱所谓“定风波”的，请尊重一下钱雷，第二定风波的词不长这样，请尊重一下苏轼，也少误导听歌的普通人。要么你去唱真正的戏剧定风波，要么你就老老实实标原曲光亮，别用定风波这三个字打马虎眼，只有两句词不叫定风波，听懂了吗？
之前不说你那是给你留脸，别得寸进尺当着原唱的面发癫逼体面人发疯。如果你要说是主办方的问题，第一你自己之前不止一次这样做，第二谅你之前无知，不知道戏剧里根本没有这样唱的定风波也不知道定风波这首词的完整版，这次告诉你了，你也该知道了。下次你也有监督责任，既然你唱了那就别再说自己不知情不关你事了，你是个成年人要为自己的行为负责，不是什么不懂事乱说话的小学生。
#陈丽君 偷歌#
怜雾_正在听反深代词的微博视频",24119,1662,2618,1.5万,2024-08-04,22,2024-08-04-22
5063769724818849,做只浪漫的鱼,7726348309,f,2024-08-04 22:04:05,HUAWEI P40 5G,四川,亲爱的朋友啊，我要拉着你奔跑,False,,#陈丽君 偷歌#小姐姐我懂你，人是靠直女装姬出圈的，最后再倒打一耙，我们姐姐只是专心唱越剧的小美女一枚啊抄袭是要转移话题，让被抄袭者去找节目方的，得了便宜是一定要卖乖的,1190,81,30,1938,2024-08-04,22,2024-08-04-22
