,评论id,评论者id,评论时间,评论者姓名,评论者IP归属地,评论者粉籍,评论内容,fan_cnt,like_cnt
0,5063834022707959,6761369485,2024-08-05 02:19:35,大土豆你个破忒头_,来自福建,loyal_fans,宝宝唱的真好 快点休息,1.1万,12666
1,5063833976047058,7444504753,2024-08-05 02:19:24,不想穿校裤,来自湖北,loyal_fans,宝宝你超棒的！,2123,10384
2,5063833952191436,7767636727,2024-08-05 02:19:18,搅碎一池星月--,来自陕西,loyal_fans,宝宝。你是最棒的,77,9513
3,5063834012222504,7007259210,2024-08-05 02:19:33,漠然-淡然,来自江苏,loyal_fans,啊仙君你来了早点休息辛苦了,58,9072
4,5063834006195073,7742534781,2024-08-05 02:19:31,阿Mei的好多天_,来自陕西,loyal_fans,宝宝你特别棒！！超级美,64,8317
5,5063834043681126,6004698254,2024-08-05 02:19:40,养乐多小岛-,来自江西,loyal_fans,宝宝你很棒你唱的很好听，要开心要开心要开心@陈丽君_点绛唇,22,7847
6,5063834068846190,5624240806,2024-08-05 02:19:46,芋泥瓜瓜__,来自福建,loyal_fans,宝宝！！你超棒！！！,235,7082
7,5063834027165318,6576072049,2024-08-05 02:19:36,lalalalx,来自福建,loyal_fans,唱得很好啊！,134,6640
8,5063834207520308,6898647717,2024-08-05 02:20:19,那就喝杯热水吧,来自浙江,loyal_fans,不是你的错，天天开心，晚安,1.6万,6596
9,5063834252871763,6426870094,2024-08-05 02:20:30,喻盐小盐总,来自江西,loyal_fans,宝宝你真的很棒，不要错怪自己！！！我们不欺负别人，但是也不能让你被欺负，永远爱你@陈丽君_点绛唇,694,6558
10,5064042618554890,6101818059,2024-08-05 16:08:28,在我心里掌灯_,来自内蒙古,,这两年您在其他平台多次演唱百万收藏大爆曲《光亮》戏腔不标明原曲甚至擅自改名成《定风波》，很难让人相信这只是一次无心之失。不过既然您已经认识到了错误，相信您也能知错就改以后不再犯，希望您约束好粉丝，停止对您喜爱的原唱歌手的人身攻击造谣辱骂,1.7万,6320
11,5063833940920549,7722893914,2024-08-05 02:19:16,零忆-Start,来自河南,loyal_fans,宝贝,1199,5872
12,5063834152993326,2002538207,2024-08-05 02:20:06,有机牛奶瓶,来自广东,loyal_fans,老婆你唱的特别好,414,5620
13,5063834027688982,2881283653,2024-08-05 02:19:36,就要辣椒了,来自山东,loyal_fans,宝宝你很棒,2971,5206
14,5063834853180614,1967157407,2024-08-05 02:22:53,Titanic_凌云DOLE,来自江苏,loyal_fans,无妄之灾还要亲自出来解释辛苦了宝宝你是最棒哒,586,5113
15,5063834097682937,6581981255,2024-08-05 02:19:53,寄于92年0603曲,来自广西,loyal_fans,宝宝 你没错,7625,4946
16,5063837883565539,1821274354,2024-08-05 02:34:56,反深代词_蝴蝶希,来自贵州,,优秀的歌曲欢迎他人的翻唱，只是作为文艺工作者必定是要有版权意识的，这是创作者的心血，您在过去的两年里多次翻唱《光亮》却都没有标注原曲或者词曲作者，还是有必要提高相关意识。祝好～,6061,4888
17,5063838871584972,5355738926,2024-08-05 02:38:50,Gillian立gei,来自广东,,早这样不就行了，使用作品不标注原曲，还更改作品名称，以后注意吧姐姐，也请让你们粉丝不要再发疯了谢谢,4.3万,4430
18,5063841434306226,7859365530,2024-08-05 02:49:02,纯文学叻_,来自江苏,,终于等来了迟来两年的道歉文艺工作者的底线是尊重原创和版权，引导粉丝向真善美，而不是假恶丑既然陈女士已经意识到自己的错误，那么请约束好自己的粉丝，停止人身攻击和网暴受害者从艺先从德，好自为之,1406,4318
19,5063834118915559,3299039273,2024-08-05 02:19:58,爱吃火锅爱喝碧纯气泡水的小吃货,来自浙江,loyal_fans,仙女君君,1830,4198
20,5063834159285319,6581981255,2024-08-05 02:20:08,寄于92年0603曲,来自广西,loyal_fans,你是最棒的,7625,4009
21,5063834104497720,7499919165,2024-08-05 02:19:55,爱吃酱汁烤肉的蜜瓜,来自浙江,loyal_fans,君君 你是最棒的,116,3788
22,5063834467303544,3896031230,2024-08-05 02:21:20,阿克顿薯饼,来自湖南,loyal_fans,优秀党员陈老师大格局,533,3582
