,微博发布者id,微博昵称,微博简介,认证状态,认证理由,关注数,粉丝数,性别,微博等级
0,6581119516,低头风来,在听周深新专辑《反深代词》。,True,超话粉丝大咖（周深超话） 微博原创视频博主,228,5.1万,女,19
1,2681397883,张三朵L,💫💫周深 = 好听💫💫,True,超话粉丝大咖（周深超话） 娱乐博主 微博原创视频博主,436,27万,女,37
2,7518860581,乌鸦为什么爱听反深代词,I've got my eye on you. I've got my mind on you.,True,娱乐博主 超话粉丝大咖（周深超话）,385,1.5万,女,0
3,7724525486,你系最迷人噶你机道吗,solo追星别管我｜授权相关看置顶，B站、小🍠同名。,True,超话粉丝大咖（周深超话） 微博原创视频博主,136,7.9万,女,0
4,6580377853,啊宽宽kk,谢谢周深。,True,超话粉丝大咖（周深超话）,519,4.2万,女,14
5,6101818059,在我心里掌灯_,呼吸狂奔 相爱支撑 命才成为生,False,,69,1.7万,女,14
6,6252321704,圈圈划重点,周深，我没有墙头。  （拒绝微博教育家，请勿打扰）,True,超话粉丝大咖（周深超话） 微博剪辑视频博主,414,2万,男,4
7,7497879443,貓子春眠,柳絮蓬蓬松松，像小猫的尾巴,False,,176,383,女,0
8,7827798807,迟迟叻,周深是我的,True,微博剪辑视频博主,164,2.9万,女,0
9,3199780861,阿斯巴甜的米,wala li longla🪄,True,娱乐博主 超话粉丝大咖（周深超话）,570,15.4万,女,9
10,5073161298,猫猫超爱洗白白,你是我的一缕执念。,False,,166,3,女,9
11,5595700253,朵拉拉是土龙龙,就要叠词词,True,超话粉丝大咖（周深超话） 音乐博主,853,3.6万,女,3
12,7317080259,刘旭阳_反深代词神专版,都曾呼吸狂奔 相爱支撑,False,,828,44,女,0
13,6990271712,反深代词就是神人间能得几回闻,周深是我的第一顺位  互联网著名深宝女,True,娱乐博主 超话粉丝大咖（周深超话） 微博原创视频博主,617,3567,女,4
14,7921796740,掉进皮蛋粥里的米,一如既往不分场合的支持周深！做你自己这件事，没有任何人做的比你好!,False,,164,30,女,0
15,5444211882,鏡紗TuT,💗 @KBShinya  @卡布叻_周深  💗  丨 2014.08.07 丨 2020.08.09 丨,True,超话粉丝大咖（周深超话）,106,2274,女,44
16,7884351572,粥老师请说,胡言乱语存放地，日常对周深发癫，小心被我创飞🚗,False,,108,104,女,0
17,7808446540,肚噜噜w,,False,,24,1,男,0
