,微博id,微博发布者,微博发布者id,微博发布者性别,微博发布时间,微博发布来源,微博发布IP归属地,微博简介,认证状态,认证理由,content,like_cnt,comment_cnt,repost_cnt,fan_cnt
0,5063833880365228,陈丽君_点绛唇,1737059113,f,2024-08-05 02:19:01,微博视频号,四川,浙江小百花越剧团 尹派 小生,True,浙江小百花越剧团 越剧演员,很高兴和《浮生一白》一起来到成都，来到百花奖的舞台，这是我的荣幸。我很喜欢这首曲子，感谢来自《白蛇·浮生》的这个缘分。“莫听穿林打叶声，一蓑烟雨任平生”，使用这两句戏腔，是因为《定风波》与《浮生一白》的节目衔接希望要这两句过场。收到策划之初就和主办方确认过版权问题。《光亮》是周深老师原唱、钱雷老师作曲的作品，毋庸置疑。我也很喜欢周深老师，之前在转发有翻唱内容的节目视频时没有注明原唱是我的过错，改！喜欢我的朋友，谢谢你们爱护我，但不希望你们因此攻击他人。在意版权，是没有错的。最后谢谢喜欢《浮生一白》的朋友们，晚安… 陈丽君_点绛唇的微博视频,422385,84450,314113,99.7万
1,5064098375009026,栗子有娱,7815530254,m,2024-08-05 19:50:01,iPhone客户端,河北,,True,娱乐博主 微博剪辑视频博主,#陈丽君回应周深粉丝##陈丽君回复周深粉丝#陈丽君回复周深粉丝，承认错误并改正，但莫须有的事是否认的，希望粉丝们理智对待,22,5,1,44.3万
2,5064098766657731,栗子新娱,7819444443,m,2024-08-05 19:51:35,iPhone客户端,河北,,True,微博剪辑视频博主,#陈丽君回应周深粉丝##陈丽君回复周深粉丝#陈丽君回复周深粉丝，承认错误并改正，但莫须有的事是否认的，不要扩大矛盾,3,3,3,43.7万
3,5064098922106548,文娱天下,5324184746,m,2024-08-05 19:52:12,iPhone客户端,河北,新报网文艺官方微博,True,文娱天下官方微博,#陈丽君回应周深粉丝##陈丽君回复周深粉丝#陈丽君回复周深粉丝，承认错误并改正，但莫须有的事是否认的，你觉得呢,163,22,2,20.6万
4,5064099060252933,泽诚文娱,2720617213,f,2024-08-05 19:52:44,iPhone客户端,河北,,True,泽诚文娱官方微博,#陈丽君回应周深粉丝##陈丽君回复周深粉丝#陈丽君回复周深粉丝，承认错误并改正，但莫须有的事是否认的，希望双方粉丝和好如初,11583,387,75,20.4万
5,5064099128674746,影视综艺君,6072690839,m,2024-08-05 19:53:01,影视综艺君超话,山东,知名娱乐评论人,True,娱乐博主,#陈丽君回应周深粉丝##陈丽君回复周深粉丝#陈丽君回复周深粉丝，承认错误并改正，但莫须有的事是否认的，如何看呢,71,6,0,537.9万
6,5064103548420565,-清酒酒-,2676424894,f,2024-08-05 20:10:34,看我头像谢iPhone 12 Pro Max,山东,月亮那么亮是它的错吗？不，错的是不能容忍它发光的人。,True,超话粉丝大咖（周深超话）,"#陈丽君回复周深粉丝# 那陈丽君也来回复一下我？
①@陈丽君_点绛唇 如果之前没唱过光亮那几句戏腔，那这几句所谓定风波是怎么来的？
②你既然知道你在翻唱别人的歌，为什么去年同团同事会发布她录的一版音源并改名叫定风波四处传播？如果没问题为什么昨天大半夜你道歉后，这位同事紧跟着急匆匆加上了出处？不是“无所谓”吗？
③你不但是健全的成年人，还是敢上戏台子对嘴假唱出圈的越剧第一人，还是敢为了上综艺推掉本职演出的投机倒把人。
自己没歌就偷偷摸摸想把别人的大爆歌据为己有是吗？我就问了整个事儿的逻辑很难理解吗？如果提前沟通好了为什么你又是道歉又是删视频？主办为什么重新加标注？早干嘛去了？先上车后补票式沟通吗？
这可不叫大格局，这叫干烂事终于被抓了不得不出来道歉🤗

大姐挺会和粉丝玩儿文字游戏替你冲锋陷阵的，有这个歪门邪道的功夫能不能多学几个字早日脱离文盲，别再丢越剧圈的脸了。
无事体制内有事小女孩，以后别再碰我们周老师的歌了，我们小五个月没背景没后台的草根明星可不敢惹🤗",2095,182,152,2.8万
7,5064117939084164,白御新,1909287833,f,2024-08-05 21:07:46,微博视频号,江苏,此心光明，亦復何言。非唯路人，随时跑路，不推荐关注。少管我！,False,,#陈丽君回复周深粉丝# 那我就来给戏曲祛祛魅，陈丽君小学一年级的“关”字都不会写，就敢传承越剧文化，越剧圈答应吗 做功更是一塌糊涂，前半部分是蔡团，后半部分是文盲九漏鱼的表演，用手扶腿降低难度了不说还抖成筛子，传承了什么精髓？替唱？ 白御新的微博视频,1000,98,81,1.7万
8,5064120266662189,白御新,1909287833,f,2024-08-05 21:17:01,微博网页版,江苏,此心光明，亦復何言。非唯路人，随时跑路，不推荐关注。少管我！,False,,#陈丽君回复周深粉丝# 陈丽君粉丝dfxr死不悔改，批皮开始自导自演骂自己蒸煮拉别人粉丝共沉沦，yxh这不就买上了，已被受害者精准预测 网友留言陈丽君约束粉丝，陈丽君破防拉黑，陈丽君就是这么约束粉丝的,1607,143,263,1.7万
9,5064124230539269,白御新,1909287833,f,2024-08-05 21:32:46,微博网页版,江苏,此心光明，亦復何言。非唯路人，随时跑路，不推荐关注。少管我！,False,,#陈丽君回复周深粉丝# 6点回复，7点预热，8点开整，一套标准流程，对其颗粒度，打出一套热搜组合拳 按照预计，下一步就是自导自演买yxh推送空瓶大家都脏谁也别说谁的戏码了呢,1421,106,203,1.7万
10,5064125176611840,洋柿子爱吃番茄,6608646406,f,2024-08-05 21:36:31,QQ音乐,山东,周深唯粉！养h中🥰ygxy较低的米子婉拒啦🥰,True,超话粉丝大咖（周深超话）,周深《光亮》（《紫禁城》大型纪录片主题歌）光亮 @QQ音乐 #陈丽君回复周深粉丝# 来来来 都来听听我家绝美光亮,2,0,0,74
11,5064128932349560,圈圈划重点,6252321704,m,2024-08-05 21:51:27,微博视频号,上海,周深，我没有墙头。  （拒绝微博教育家，请勿打扰）,True,超话粉丝大咖（周深超话） 微博剪辑视频博主,#陈丽君回复周深粉丝# 这就是被陈丽君多次翻唱的周深的《光亮》 陈丽君唱完改名为自己的定风波 @陈丽君_点绛唇 是不是很喜欢啊，来学习一下 我们欢迎翻唱，拒绝偷歌哦 好歹三十多岁了，人还在演艺圈里，从艺先从德，要守好艺德，尊重版权 圈圈划重点的微博视频,13912,182,136,2万
12,5064155134690641,奔跑着的小石子,1806085233,f,2024-08-05 23:35:34,华为手机,广东,我会爱人，这是天生的本领！一直都会，从未间断过！,False,,#陈丽君回复周深粉丝# 我们家美丽可爱谦逊有礼貌的宝宝真的好可怜，路人的眼睛是雪亮的～,9,0,0,330
13,5064156132148736,深啊今天也听反深代词,3123996041,f,2024-08-05 23:39:32,反深代词·龙重登场,上海,我什么时候才能拥有周深二专to签合照！ 【除了特别备注🈲️搬运的视频，我的物料可以自行搬运/二创，但是需要标注出处，不可以抹掉我的水印,True,超话粉丝大咖（周深超话） 微博原创视频博主,"#陈丽君回复周深粉丝#
对不起啊，《光亮》太火火到被你和你粉丝盯上了；
对不起啊，《光亮》被改成《定风波》还在原唱面前舞的时候我们没有忍气吞声；
对不起啊，官方把《光亮》戏腔部分从舞台里删除后，我们还在等当事人道歉；
对不起啊，陈丽君道歉但粉丝继续无理取闹的时候我们选择反击；
对不起啊，我们家素人把陈丽君粉丝无理取闹的事实摆到了蒸煮pl区；
对不起啊，陈丽君下场网暴我们素人之前，我们已经把偷歌行为存档留证了，删了也没用；
我道歉了哦，你们可一定要原谅啊！",831,73,63,8271
14,5064164150346928,惺惺惜惺惺_SQ,6782244454,f,2024-08-06 00:11:24,Redmi K60 至尊版,河南,,False,,#陈丽君回复周深粉丝# 没有出圈的作品空有流量，专辑也不用心做，只会混各大综艺混各大卫视恰饭，声音女性化，听他的还不如听个正经女歌手唱，至少还是真女声‬,36,4,0,3
15,5064303082471770,喻吝君颖,6314999015,f,2024-08-06 09:23:27,陈丽君超话,马来西亚,,True,娱乐博主,#给陈丽君的七夕礼物# ｜#陈丽君回复周深粉丝# 诚邀每位点进这个ct的路人一起欣赏陈丽君老师的舞台《浮生一白》，来都来了不要错过！ @陈丽君_点绛唇 陈丽君记事簿的微博视频,10239,1949,2328,1.5万
16,5064310088534109,诗蒽诗蒽,6454586592,f,2024-08-06 09:51:18,周深超话,云南,人活着就是为了看周深,False,,周深#周深# #陈丽君回复周深粉丝# 看不明白《光亮》和《定风波》的事情？没关系，我来给你讲…… 诗蒽诗蒽的微博视频,1161,200,201,169
