,微博id,微博发布者,微博发布者id,微博发布者性别,微博发布时间,微博发布来源,微博发布IP归属地,微博简介,认证状态,认证理由,content,like_cnt,comment_cnt,repost_cnt,fan_cnt
0,5063781384982265,反深代词就是神人间能得几回闻,6990271712,f,2024-08-04 22:50:25,周深的生米Android,山东,周深是我的第一顺位  互联网著名深宝女,True,娱乐博主 超话粉丝大咖（周深超话） 微博原创视频博主,"#陈丽君回应周深粉丝#
让小编带大家盘点一下陈丽君和她粉丝的骚操作吧
总结事件脉络:【陈女士营销宣传将《光亮》里🔥出圈的京剧戏腔改名《定风波》，利用这个模糊原唱并营销是越剧选段，企图误导不明真相的人获取出圈机会，她粉丝至今还拒不认账，rsgj并造谣原唱】
陈丽君粉丝真好笑 口口声声说这次是主办方的问题 你们是只字不提陈丽君本人之前多次翻唱《光亮》戏腔（未标原唱）并试图改名为《定风波》，并在自己节目播出期间带周老师出场，周老师从未关注过陈丽君。请问这热搜是怎么来的啊谁都想来蹭一下大明星是吧 以前的你翻唱完带着粉丝拉踩 现在的你还想高攀 人不能有两副面孔啊 姐姐@陈丽君_点绛唇 你粉丝也是真敢说啊谁蹭谁啊#陈丽君 偷歌# 最后 还请陈女士粉丝停止辱骂周老师",5728,398,591,3567
1,5063790338511963,星星不失眠_神专反深代词,3598634723,f,2024-08-04 23:26:00,啾星最甜✨Android,河南,I'll be your lighthouse，I'l make it okay💐,True,娱乐博主 超话粉丝大咖（周深超话）,#陈丽君 浮生一白##陈丽君回应周深粉丝# 让我们来猜猜陈丽君什么时候为自己23年就偷歌今天才补上原唱道歉,743,58,36,1.5万
2,5064075313153044,转转呜呜呜,2582599122,f,2024-08-05 18:18:23,微博轻享版,上海,只有音乐是永恒的,True,娱乐博主,#陈丽君回应周深粉丝# @陈丽君_点绛唇 披着一张体＼制＼内的皮粉丝就能随意rsgj造＼黄\谣发癫了是吧 还素人小女孩，哪个素人上浪姐？哪个没有工作室但是知道买水买转买碰瓷互关话题？哪个小偷粉丝还有红V粉专门辱骂别的演员？倒打一耙辱骂失主？越剧的名号都给你们玷污了……,1303,92,206,2.6万
3,5064075350640342,陈地球的混沌文学,1783276087,f,2024-08-05 18:18:32,地球最强iPhone客户端,广东,营销公关的小天才，老阿姨拒绝粉籍谢谢。,True,娱乐博主 微博原创视频博主,"没背景，没资ben护体，没有人脉，没有打手式粉丝，偏偏还有才华，有担当，有颜值，有身高。
陈丽君，你怎么办你让星辰们怎么办
我话放下来了，又飒又美油菜花还努力的小姐姐我最喜欢了，我慕强，以后她的红稿我发，欺负她我就来出头⛏️
#陈丽君浮生一白#

#陈丽君回应周深粉丝#",16844,1699,1158,2.2万
4,5064089258951471,朵拉拉是土龙龙,5595700253,f,2024-08-05 19:13:47,废话小天才,河北,就要叠词词,True,超话粉丝大咖（周深超话） 音乐博主,#陈丽君 偷歌# #陈丽君回应周深粉丝# 陈丽君粉丝要点脸吧，zs对粉丝说辛苦了的频率比你那偷歌姐姐的舞台还多，哪来的脸蹭啊，yy是种病，得赶紧治 zs还天天对粉丝说生日快乐呢，怎么，要替你姐姐蹭一个吗 蒸煮偷歌，粉丝乞讨，不是一家人不进一家门 @陈丽君_点绛唇,1634,67,62,3.6万
5,5064098375009026,栗子有娱,7815530254,m,2024-08-05 19:50:01,iPhone客户端,河北,,True,娱乐博主 微博剪辑视频博主,#陈丽君回应周深粉丝##陈丽君回复周深粉丝#陈丽君回复周深粉丝，承认错误并改正，但莫须有的事是否认的，希望粉丝们理智对待,21,5,1,44.3万
6,5064098922106548,文娱天下,5324184746,m,2024-08-05 19:52:12,iPhone客户端,河北,新报网文艺官方微博,True,文娱天下官方微博,#陈丽君回应周深粉丝##陈丽君回复周深粉丝#陈丽君回复周深粉丝，承认错误并改正，但莫须有的事是否认的，你觉得呢,30,6,2,20.6万
7,5064098924727351,正上文娱,7596699767,m,2024-08-05 19:52:13,iPhone客户端,河北,,True,正上文娱官方微博,#陈丽君回应周深粉丝##陈丽君回复周深粉丝#陈丽君回复周深粉丝，承认错误并改正，但莫须有的事是否认的，望双方粉丝都友善处理,418,45,6,20.6万
8,5064099060252933,泽诚文娱,2720617213,f,2024-08-05 19:52:44,iPhone客户端,河北,,True,泽诚文娱官方微博,#陈丽君回应周深粉丝##陈丽君回复周深粉丝#陈丽君回复周深粉丝，承认错误并改正，但莫须有的事是否认的，希望双方粉丝和好如初,11425,380,75,20.4万
9,5064099128674746,影视综艺君,6072690839,m,2024-08-05 19:53:01,影视综艺君超话,山东,知名娱乐评论人,True,娱乐博主,#陈丽君回应周深粉丝##陈丽君回复周深粉丝#陈丽君回复周深粉丝，承认错误并改正，但莫须有的事是否认的，如何看呢,33,5,0,537.9万
10,5064099560163965,青春娱乐台,5245981751,m,2024-08-05 19:54:44,iPhone 11 Pro Max,河北,,True,青春娱乐台官方微博,#陈丽君回应周深粉丝##陈丽君回复周深粉丝#陈丽君回复周深粉丝，承认错误并改正，但莫须有的事是否认的🙏🙏,1610,97,24,62.6万
